soccode	OCC	OCC_Title
49-9092	7630	Other installation, maintenance, and repair workers, including wind turbine service technicians, commercial divers, and signal and train switch repairers
49-9093	7630	Other installation, maintenance, and repair workers, including wind turbine service technicians, commercial divers, and signal and train switch repairers
49-9094	7540	Locksmiths and safe repairers 
49-9095	7550	Manufactured building and mobile home installers 
49-9096	7560	Riggers 
49-9097	7630	Other installation, maintenance, and repair workers, including wind turbine service technicians, commercial divers, and signal and train switch repairers
49-9098	7610	Helpers--installation, maintenance, and repair workers 
49-9099	7630	Other installation, maintenance, and repair workers, including wind turbine service technicians, commercial divers, and signal and train switch repairers
51-1011	7700	First-line supervisors/managers of production and operating workers 
51-2011	7710	Aircraft structure, surfaces, rigging, and systems assemblers 
51-2021	7720	Electrical, electronics, and electromechanical assemblers 
51-2028	7720	Electrical, electronics, and electromechanical assemblers 
51-2031	7730	Engine and other machine assemblers 
51-2041	7740	Structural metal fabricators and fitters 
51-2091	7750	Miscellaneous assemblers and fabricators 
51-2093	7750	Miscellaneous assemblers and fabricators 
51-2098	7750	Miscellaneous assemblers and fabricators 
51-3011	7800	Bakers 
51-3021	7810	Butchers and other meat, poultry, and fish processing workers   
51-3022	7810	Butchers and other meat, poultry, and fish processing workers   
51-3023	7810	Butchers and other meat, poultry, and fish processing workers   
51-3091	7830	Food and tobacco roasting, baking, and drying machine operators and tenders 
51-3092	7840	Food batchmakers 
51-3093	7850	Food cooking machine operators and tenders 
51-3099	7855	Food processing workers, all other 
51-4011	7900	Computer control programmers and operators 
51-4012	7900	Computer control programmers and operators 
51-4021	7920	Extruding and drawing machine setters, operators, and tenders, metal and plastic 
51-4022	7940	Rolling machine setters, operators, and tenders and forging machine setters, operators, and tenders, metal and plastic
51-4023	7940	Rolling machine setters, operators, and tenders and forging machine setters, operators, and tenders, metal and plastic
51-4031	7950	Cutting, punching, and press machine setters, operators, and tenders, metal and plastic 
51-4032	8220	Metalworkers and plastic workers, all other
51-4033	8000	Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic 
51-4034	8010	Lathe and turning machine tool setters, operators, and tenders, metal and plastic 
51-4035	8220	Metalworkers and plastic workers, all other
51-4041	8030	Machinists 
51-4051	8040	Metal furnace and kiln operators and tenders 
51-4052	8040	Metal furnace and kiln operators and tenders 
51-4061	8220	Metalworkers and plastic workers, all other
51-4062	8220	Metalworkers and plastic workers, all other
51-4071	8100	Molders and molding machine setters, operators, and tenders, metal and plastic 
51-4072	8100	Molders and molding machine setters, operators, and tenders, metal and plastic 
51-4081	8220	Metalworkers and plastic workers, all other
51-4111	8130	Tool and die makers 
51-4121	8140	Welding, soldering, and brazing workers 
51-4122	8140	Welding, soldering, and brazing workers 
51-4191	8220	Metalworkers and plastic workers, all other
51-4192	8220	Metalworkers and plastic workers, all other
51-4193	8200	Plating and coating machine setters, operators, and tenders, metal and plastic 
51-4194	8210	Tool grinders, filers, and sharpeners 
51-4199	8220	Metalworkers and plastic workers, all other
51-5111	8250	Prepress technicians and workers 
51-5112	8255	Printing press operators 
51-5113	8256	Print binding and finishing workers 
51-6011	8300	Laundry and dry-cleaning workers 
51-6021	8310	Pressers, textile, garment, and related materials 
51-6031	8320	Sewing machine operators 
51-6041	8330	Shoe and leather workers and repairers 
51-6042	8460	Miscellaneous textile, apparel, and furnishings workers, except upholsterers
51-6051	8350	Tailors, dressmakers, and sewers 
51-6052	8350	Tailors, dressmakers, and sewers 
51-6061	8460	Miscellaneous textile, apparel, and furnishings workers, except upholsterers
51-6062	8400	Textile cutting machine setters, operators, and tenders 
51-6063	8410	Textile knitting and weaving machine setters, operators, and tenders 
51-6064	8420	Textile winding, twisting, and drawing out machine setters, operators and tenders 
51-6091	8460	Miscellaneous textile, apparel, and furnishings workers, except upholsterers
51-6092	8460	Miscellaneous textile, apparel, and furnishings workers, except upholsterers
51-6093	8450	Upholsterers 
51-6099	8460	Miscellaneous textile, apparel, and furnishings workers, except upholsterers
51-7011	8500	Cabinetmakers and bench carpenters 
51-7021	8510	Furniture finishers 
51-7031	8550	Miscellaneous woodworkers, including model makers and pattern makers
51-7032	8550	Miscellaneous woodworkers, including model makers and pattern makers
51-7041	8530	Sawing machine setters, operators, and tenders, wood 
51-7042	8540	Woodworking machine setters, operators, and tenders, except sawing 
51-7099	8550	Miscellaneous woodworkers, including model makers and pattern makers
51-8011	8600	Power plant operators, distributors, and dispatchers 
51-8012	8600	Power plant operators, distributors, and dispatchers 
51-8013	8600	Power plant operators, distributors, and dispatchers 
51-8021	8610	Stationary engineers and boiler operators 
51-8031	8620	Water and liquid waste treatment plant and system operators 
51-8091	8630	Miscellaneous plant and system operators 
51-8092	8630	Miscellaneous plant and system operators 
51-8093	8630	Miscellaneous plant and system operators 
51-8099	8630	Miscellaneous plant and system operators 
51-9011	8640	Chemical processing machine setters, operators, and tenders 
51-9012	8640	Chemical processing machine setters, operators, and tenders 
51-9021	8650	Crushing, grinding, polishing, mixing, and blending workers 
51-9022	8650	Crushing, grinding, polishing, mixing, and blending workers 
51-9023	8650	Crushing, grinding, polishing, mixing, and blending workers 
51-9031	8710	Cutting workers 
51-9032	8710	Cutting workers 
51-9041	8720	Extruding, forming, pressing, and compacting machine setters, operators, and tenders 
51-9051	8730	Furnace, kiln, oven, drier, and kettle operators and tenders 
51-9061	8740	Inspectors, testers, sorters, samplers, and weighers 
51-9071	8750	Jewelers and precious stone and metal workers   
51-9081	8760	Medical, dental, and ophthalmic laboratory technicians 
51-9082	8760	Medical, dental, and ophthalmic laboratory technicians 
51-9083	8760	Medical, dental, and ophthalmic laboratory technicians 
51-9111	8800	Packaging and filling machine operators and tenders 
51-9121	8810	Painting workers 
51-9122	8810	Painting workers 
51-9123	8810	Painting workers 
51-9141	8965	Production workers, including semiconductor processors and cooling and freezing equipment operators
51-9151	8830	Photographic process workers and processing machine operators 
51-9191	8850	Cementing and gluing machine operators and tenders 
51-9192	8860	Cleaning, washing, and metal pickling equipment operators and tenders 
51-9193	8965	Production workers, including semiconductor processors and cooling and freezing equipment operators
51-9194	8910	Etchers and engravers 
51-9195	8920	Molders, shapers, and casters, except metal and plastic 
51-9196	8930	Paper goods machine setters, operators, and tenders 
51-9197	8940	Tire builders 
51-9198	8950	Helpers--production workers 
51-9199	8965	Production workers, including semiconductor processors and cooling and freezing equipment operators
53-1011	9000	Supervisors, transportation and material moving workers 
53-1048	9000	Supervisors, transportation and material moving workers 
53-2011	9030	Aircraft pilots and flight engineers 
53-2012	9030	Aircraft pilots and flight engineers 
53-2021	9040	Air traffic controllers and airfield operations specialists 
53-2022	9040	Air traffic controllers and airfield operations specialists 
53-2031	9050	Flight attendants 
53-3011	9110	Ambulance drivers and attendants, except emergency medical technicians 
53-3021	9120	Bus drivers 
53-3022	9120	Bus drivers 
53-3031	9130	Driver/sales workers and truck drivers 
53-3032	9130	Driver/sales workers and truck drivers 
53-3033	9130	Driver/sales workers and truck drivers 
53-3041	9140	Taxi drivers and chauffeurs 
53-3099	9150	Motor vehicle operators, all other 
53-4011	9200	Locomotive engineers and operators 
53-4012	9200	Locomotive engineers and operators 
53-4013	9200	Locomotive engineers and operators 
53-4021	9240	Railroad brake, signal, switch operators, conductors and yardmasters
53-4031	9240	Railroad brake, signal, switch operators, conductors and yardmasters
53-4041	9260	Subway, streetcar, and other rail transportation workers
53-4099	9260	Subway, streetcar, and other rail transportation workers
53-5011	9300	Sailors and marine oilers, and ship engineers
53-5021	9310	Ship and boat captains and operators 
53-5022	9310	Ship and boat captains and operators 
53-5031	9300	Sailors and marine oilers, and ship engineers
53-6011	9420	Other transportation workers, including bridge and lock tenders
53-6021	9350	Parking lot attendants 
53-6031	9360	Service station attendants 
53-6041	9420	Other transportation workers, including bridge and lock tenders
53-6051	9410	Transportation inspectors 
53-6061	9415	Transportation attendants, except flight attendants 
53-6099	9420	Other transportation workers, including bridge and lock tenders
53-7011	9560	Hoist and winch operators, and conveyor operators and tenders
53-7021	9510	Crane and tower operators 
53-7031	9520	Dredge, excavating, and loading machine operators 
53-7032	9520	Dredge, excavating, and loading machine operators 
53-7033	9520	Dredge, excavating, and loading machine operators 
53-7041	9560	Hoist and winch operators, and conveyor operators and tenders
53-7051	9600	Industrial truck and tractor operators 
53-7061	9610	Cleaners of vehicles and equipment 
53-7062	9620	Laborers and freight, stock, and material movers, hand 
53-7063	9630	Machine feeders and offbearers 
53-7064	9640	Packers and packagers, hand 
53-7071	9650	Pumping station operators 
53-7072	9650	Pumping station operators 
53-7073	9650	Pumping station operators 
53-7081	9720	Refuse and recyclable material collectors 
53-7111	9750	Material moving workers, including mine shuttle operators and tank car, truck, and ship loaders
53-7121	9750	Material moving workers, including mine shuttle operators and tank car, truck, and ship loaders
53-7199	9750	Material moving workers, including mine shuttle operators and tank car, truck, and ship loaders
